mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_67287,OC12C3OC1C1OC3C21,3.20834,1.95255,1.75215,1.997,62.41,-0.2299,0.029,0.259,806.9413,0.113518,-457.659877,-457.653921,-457.652977,-457.689848,25.277,-1495.8998798301,-1505.4944924401,-1513.7914164381,-1391.681930092
gdb_81668,CC1C2CC1OC(=O)O2,3.70709,1.33051,1.26381,5.725,67.9,-0.2827,0.037,0.3196,1043.3899,0.137104,-458.995144,-458.987843,-458.986899,-459.026805,28.597,-1705.9403198191,-1716.468038312,-1725.9509543201,-1589.4118985191
gdb_48797,O=CC12NC1CC21CO1,2.84649,1.4864,1.15731,2.0756,71.13,-0.2485,-0.0415,0.207,1055.651,0.123347,-437.821552,-437.813796,-437.812852,-437.85392,29.209,-1585.08145891,-1594.435108064,-1603.325028067,-1475.6300841121
gdb_11115,CCN1CC(C1)C#N,6.22858,1.00414,0.95744,3.7111,74.08,-0.2341,0.0242,0.2583,1240.2915,0.154218,-343.977789,-343.969527,-343.968583,-344.010838,29.822,-1711.031927845,-1721.8451629331,-1731.921702455,-1591.282502848
gdb_2030,CN1CC2(C1)CO2,7.5801,1.75276,1.65057,2.3196,61.97,-0.2155,0.0814,0.2969,793.8334,0.136024,-325.721011,-325.71415,-325.713206,-325.751678,25.42,-1466.020411286,-1475.935053486,-1484.826228507,-1360.640942389
gdb_75296,CC1=CCC2OC(=N)C12,2.31068,1.883,1.18018,2.4782,78.84,-0.2421,0.0105,0.2526,1063.3451,0.148868,-401.971961,-401.964199,-401.963254,-402.004208,30.026,-1815.7976929401,-1826.9253100371,-1837.000594541,-1693.1554514531
gdb_128888,C(#N)c1c(n[nH]n1)C#N,2.03576,1.95478,0.99722,5.6934,65.92,-0.3112,-0.078,0.2332,1039.0041,0.057001,-426.667277,-426.660452,-426.659507,-426.699096,23.923,-1167.550147999,-1172.15543655,-1177.486753014,-1097.146775744
gdb_84013,CC1C2OCCCC12O,2.07342,1.64238,1.37024,1.8499,77.98,-0.2369,0.0738,0.3107,1090.1399,0.182912,-424.214364,-424.205551,-424.204607,-424.247404,34.397,-1979.4934557341,-1992.6272191041,-2004.482119132,-1837.344469473
gdb_33525,C1C(OC=N1)(C#N)C#N,2.23099,1.71115,1.24543,2.9176,63.86,-0.3065,-0.0525,0.2539,982.0997,0.077859,-431.680217,-431.672626,-431.671682,-431.712946,26.665,-1336.202604384,-1342.104954038,-1348.622890021,-1253.359493713
gdb_117239,CCOC(=O)N1CC1C,3.50403,0.92128,0.82039,2.3543,77.71,-0.2515,0.0389,0.2905,1496.1286,0.169103,-440.30584,-440.295819,-440.294874,-440.341762,35.261,-1888.291297674,-1899.777849919,-1911.039126433,-1754.3281663181
gdb_64241,CC1(C)OCC1OC=O,2.92185,1.01193,0.92191,2.7765,73.3,-0.2593,-0.0008,0.2586,1339.2617,0.156042,-460.174136,-460.164409,-460.163465,-460.2096,34.497,-1817.9167908331,-1828.6992779801,-1839.368185998,-1690.4038244881
gdb_71929,CC12CC3CC(C=C1)C23,2.74004,1.90012,1.44943,0.1626,86.24,-0.2269,0.0224,0.2494,991.1293,0.184873,-349.945557,-349.938278,-349.937334,-349.976609,30.85,-2084.1663494971,-2098.2639666911,-2110.118866719,-1941.2819226881
gdb_67896,CC12CC(=O)C1C1OC21,2.45444,1.83493,1.34882,3.9528,71.43,-0.2353,-0.0222,0.213,981.9355,0.134215,-421.783413,-421.775749,-421.774804,-421.815393,30.109,-1709.7530645031,-1720.0536247381,-1729.5359132371,-1593.680842246
gdb_66476,CC12OC3C1C1C2C31O,3.53752,1.57359,1.47038,1.0449,70.47,-0.232,0.0761,0.3081,943.0792,0.13512,-421.742337,-421.735147,-421.734202,-421.773381,29.599,-1683.9775048191,-1694.57550432,-1704.057792819,-1567.3179341381
gdb_33405,C#CC(C1CN1)C1CO1,2.45834,1.27178,0.9274,2.7661,77.34,-0.2455,0.0348,0.2802,1269.0805,0.146339,-401.854743,-401.845778,-401.844834,-401.889047,32.873,-1742.242342978,-1752.6150667481,-1762.690978761,-1620.8908875041
gdb_26610,NC1=C(O)C(=N)NC=N1,2.42851,1.91128,1.07043,3.0334,76.06,-0.1785,-0.0134,0.1652,1043.5485,0.115715,-450.179028,-450.17138,-450.170436,-450.210715,30.329,-1499.921585011,-1508.453197375,-1516.750121373,-1396.060060385
gdb_99013,C(C(=N)NC(=N)CO)O,4.17495,0.77076,0.65811,5.7598,73.62,-0.2471,-0.0112,0.2359,1631.8224,0.147057,-472.401713,-472.391857,-472.390912,-472.437268,35.403,-1651.244125343,-1661.0558560671,-1671.131140571,-1529.805446118
gdb_81666,CC1C2CC1OC(=O)C2,3.46742,1.29467,1.21576,4.5403,74.82,-0.2584,0.0117,0.2701,1099.765,0.160782,-423.061997,-423.054357,-423.053413,-423.093942,30.371,-1884.2244118451,-1896.317137784,-1906.986045802,-1754.7592650011
gdb_109807,CC1C(CO)C1CC#N,2.52973,0.98531,0.81182,2.4249,79.32,-0.2725,0.0299,0.3024,1445.7115,0.169873,-403.144417,-403.134258,-403.133314,-403.180416,36.135,-1923.67276513,-1935.073348642,-1946.335252665,-1790.013975639
gdb_130021,C1c2c(non2)N=C1N,5.1332,1.31312,1.0526,7.6427,67.63,-0.2392,-0.031,0.2082,1033.7807,0.09107,-448.898127,-448.891237,-448.890293,-448.929377,26.237,-1323.996299316,-1331.226458014,-1338.337390002,-1233.231515029
gdb_52210,O=COCC1CC1C#C,3.56154,0.79369,0.73815,3.6792,76.48,-0.2596,0.007,0.2666,1526.4865,0.133673,-421.798052,-421.788799,-421.787855,-421.833427,32.919,-1718.939168754,-1728.242617188,-1737.725533196,-1604.997339552
gdb_61313,OC(CC#N)CC1CC1,4.77505,0.66645,0.65192,4.9491,80.4,-0.2788,0.0294,0.3081,1749.4979,0.169765,-403.149578,-403.139731,-403.138787,-403.185235,35.574,-1926.911339079,-1938.507705399,-1949.769609422,-1793.03794151
gdb_64660,CC1(CC#C)C2COC12,3.82897,1.02167,1.0115,1.7322,80.8,-0.2352,0.0494,0.2847,1258.8673,0.157266,-385.809433,-385.800544,-385.799599,-385.842916,33.955,-1862.4140815321,-1873.7236762391,-1884.391956748,-1734.1700672021
gdb_118163,OCCC(O)C1COC1,3.52862,0.75511,0.65977,2.1345,74.85,-0.2449,0.0613,0.3062,1693.114,0.180936,-461.326314,-461.316022,-461.315078,-461.362924,36.127,-1913.0672355211,-1925.272285571,-1937.1271855991,-1772.9024327181
gdb_74701,CC1=NC2CC(O1)C=C2,3.13879,1.66143,1.48227,1.5437,75.79,-0.2369,-0.0019,0.2351,962.7487,0.150308,-401.972362,-401.965283,-401.964339,-402.003574,28.698,-1816.049324049,-1827.6055297931,-1837.681441806,-1692.7576107471
gdb_25398,c1nc([nH]c(=O)n1)C=O,3.21655,1.40776,0.9792,3.5592,64.45,-0.2795,-0.1248,0.1547,1077.6515,0.079299,-468.875432,-468.86845,-468.867505,-468.907455,24.926,-1322.025921056,-1328.3097961821,-1334.827104656,-1238.4837653591
gdb_88651,OC1CC1C1CC(=N)O1,3.28643,1.16101,1.03157,2.3664,73.34,-0.2401,0.0169,0.2569,1196.1083,0.14765,-439.063606,-439.055363,-439.054419,-439.096896,31.621,-1736.6299024821,-1747.4550602411,-1757.530972254,-1614.3861292101
gdb_19448,C1OC11CCC11CO1,3.17345,2.13383,1.57012,3.1722,64.86,-0.2587,0.0468,0.3056,842.586,0.129292,-383.677803,-383.670608,-383.669663,-383.70992,27.012,-1547.329889961,-1557.0355716641,-1565.925491667,-1440.4707548421
gdb_49036,O=CC12NCC1C2C#N,2.66238,1.40531,1.11698,4.7856,72.04,-0.2487,-0.0599,0.1888,1082.1769,0.112307,-416.775818,-416.767778,-416.766834,-416.808765,29.145,-1544.4546437231,-1552.741527577,-1561.038451575,-1441.999994275
gdb_11335,CN=C1CC(O)CO1,4.4217,1.38866,1.25728,3.6213,67.74,-0.2405,0.0354,0.2759,1018.6619,0.141933,-401.011919,-401.003623,-401.002679,-401.045841,29.396,-1608.043895747,-1617.946615276,-1627.430158793,-1495.323826568
gdb_113852,CCC1OC1C1CCO1,3.22451,1.06044,0.9376,1.6047,79.21,-0.2478,0.0743,0.3221,1359.4961,0.181763,-424.188634,-424.179262,-424.178318,-424.223955,33.72,-1963.3476491641,-1976.130635003,-1987.985535031,-1822.630010932
gdb_81790,CC12OC1C(O)C21CC1,2.13047,1.90685,1.22989,2.1931,75.21,-0.2442,0.0821,0.3263,1066.292,0.157707,-422.976279,-422.967693,-422.966749,-423.009092,33.354,-1830.435595383,-1841.9346978081,-1852.603605826,-1701.5151263511
gdb_20428,C1CN1c2n[nH]nn2,6.40517,1.59879,1.34881,2.476,60.1,-0.2392,-0.0232,0.216,859.5621,0.098167,-390.910949,-390.904624,-390.90368,-390.94226,22.639,-1223.619332167,-1231.203405941,-1238.314965438,-1135.282380201
gdb_85776,CC1OC(C(C)=O)C1=O,2.49055,1.31796,1.0501,3.5723,70.65,-0.248,-0.0477,0.2003,1186.8659,0.13179,-458.981355,-458.971789,-458.970844,-459.016852,33.256,-1697.2875982181,-1706.3940088261,-1715.8762973251,-1583.1663014421
gdb_55514,CC(=O)NC(=O)C(=N)N,3.46195,1.00442,0.78238,4.5812,70.02,-0.248,-0.0491,0.1989,1399.2918,0.122869,-471.279717,-471.269795,-471.268851,-471.315821,34.074,-1575.0331572931,-1583.026366935,-1591.916286938,-1467.3099422811
gdb_104557,NCC1(CC(=O)O1)C#N,2.5,1.33109,1.05408,4.7843,66.51,-0.2662,-0.0134,0.2527,1140.553,0.112157,-453.969496,-453.960942,-453.959998,-454.002998,30.902,-1529.313479062,-1537.277195781,-1545.574119779,-1426.951073437
gdb_11329,CN=C1NC(=N)CO1,6.35881,1.33886,1.1215,0.3809,68.63,-0.2366,0.0077,0.2443,1029.1638,0.119945,-396.010038,-396.002253,-396.001309,-396.0429,27.384,-1446.331061393,-1454.776705024,-1463.074256531,-1345.95660428
gdb_42050,C1OC2CCOCOC12,2.98838,1.51803,1.10888,1.8761,70.83,-0.2503,0.0654,0.3157,1091.4134,0.161423,-460.139242,-460.131715,-460.130771,-460.171485,29.178,-1796.0204917871,-1808.1834987341,-1818.852406752,-1666.486318953
gdb_6596,OC12CC(C1)(C2)C#N,6.09174,1.32198,1.32038,4.1323,67.14,-0.2813,0.0251,0.3064,932.5324,0.119544,-362.630793,-362.62385,-362.622906,-362.661672,26.956,-1505.90237329,-1514.8776345171,-1523.175186024,-1404.899779668
gdb_128534,Cc1c(c([nH]n1)OC)O,3.08038,1.26771,0.95763,3.2305,72.21,-0.2046,0.0315,0.2361,1230.4478,0.134864,-455.147879,-455.138206,-455.137262,-455.183233,33.721,-1640.9077970951,-1649.946436731,-1659.429352739,-1526.336576366
gdb_4897,c1c(oc(=O)[nH]1)CO,6.51706,1.27879,1.0851,3.8584,56.24,-0.2175,0.0197,0.2371,1003.9844,0.096017,-435.782092,-435.774823,-435.773879,-435.813955,26.099,-1327.834771869,-1334.8271046561,-1341.9386641531,-1240.308561531
gdb_121493,C(CO)N=CNC(=O)N,4.35512,0.60238,0.59506,4.4184,76.82,-0.2464,-0.002,0.2443,1896.3165,0.147158,-472.444016,-472.43394,-472.432996,-472.480414,35.602,-1677.78963857,-1687.463317314,-1697.539229327,-1556.879949432
gdb_83966,OC1C2CCOC1C=C2,2.20605,1.95487,1.83774,2.0211,73.92,-0.2436,-0.0016,0.2419,908.3808,0.163025,-423.031898,-423.025026,-423.024081,-423.062598,29.239,-1865.3370184541,-1877.911671305,-1888.579951814,-1735.0906229051
gdb_96656,CC(=NC)OC(=O)C#C,4.0681,0.85476,0.81489,2.0116,76.76,-0.2639,-0.047,0.2169,1453.6289,0.11966,-437.875592,-437.865462,-437.864517,-437.91172,34.588,-1618.99204527,-1626.855988058,-1635.745280552,-1511.900104312
gdb_97680,CCC#CC1(CC)CO1,2.56726,0.85848,0.70191,1.9433,89.15,-0.2438,0.0348,0.2786,1704.8102,0.179799,-387.053422,-387.042796,-387.041852,-387.090626,37.542,-2015.1767550191,-2027.1734720811,-2039.028372109,-1875.8967399061
gdb_40093,C1CC11CC2OCCC12,3.21819,1.40947,1.21943,1.3672,81.41,-0.2407,0.0785,0.3192,1102.9418,0.184511,-387.073557,-387.065854,-387.06491,-387.10595,31.088,-2027.811648734,-2041.6425746031,-2053.497474631,-1885.5126878221
gdb_9070,CC(CCC=O)C#C,4.80539,0.8432,0.75496,2.3246,75.51,-0.2519,-0.0249,0.227,1461.8673,0.150318,-347.784626,-347.775065,-347.77412,-347.819775,33.402,-1750.6955167171,-1760.6942451231,-1770.770157136,-1632.6240507861
gdb_31274,COc1cc[nH]c1CO,2.58728,1.27024,0.87816,0.9732,77.38,-0.179,0.0414,0.2204,1307.2179,0.147674,-439.098545,-439.08928,-439.088335,-439.133336,33.423,-1758.5544394331,-1768.738282994,-1778.813567498,-1637.2525571701
gdb_47971,O=CC#CC1(CO1)C=O,2.99186,0.86274,0.70189,3.4784,72.8,-0.2776,-0.0801,0.1974,1502.8467,0.085185,-456.512327,-456.503339,-456.502395,-456.547719,29.813,-1403.6535467941,-1409.568446628,-1416.679378616,-1316.208285117
gdb_23356,CC(=NO)C1OC2CC12,3.27081,1.18443,0.97409,1.1919,74.54,-0.2367,0.0064,0.2432,1225.0051,0.14553,-438.996567,-438.987639,-438.986695,-439.031203,32.783,-1694.5623266311,-1704.957640725,-1715.033552738,-1573.163180473
gdb_61619,CC1CN1CC(O)C#C,3.42517,0.86105,0.74688,2.2758,82.44,-0.2254,0.0332,0.2586,1550.9908,0.167926,-403.073666,-403.063476,-403.062532,-403.109142,37.309,-1879.275875871,-1890.657006604,-1901.918910627,-1745.2888991731
gdb_50675,O=CC1CCNC1C#N,2.16077,1.47419,1.05806,4.5376,72.75,-0.255,-0.0384,0.2166,1150.8417,0.137021,-418.023268,-418.014643,-418.013698,-418.057857,30.519,-1699.389125859,-1709.086022436,-1718.568310935,-1584.5938844171
gdb_36326,C#CC1CN(C1)CC#N,4.20366,0.82967,0.76312,4.1491,80.17,-0.2428,0.016,0.2588,1468.813,0.134961,-380.816339,-380.807444,-380.806499,-380.850723,32.143,-1706.2151687611,-1715.743265417,-1725.225553916,-1591.5473116461
gdb_13396,CCOC1OCC=C1,5.31667,1.18435,1.07864,0.808,70.59,-0.2512,0.0106,0.2618,1151.0107,0.153333,-384.942053,-384.933911,-384.932967,-384.975371,29.197,-1712.806523297,-1723.695059465,-1733.771598987,-1593.330064715
gdb_101850,OCC(O)CCC1CO1,5.10697,0.58759,0.57027,2.1167,75.65,-0.2572,0.0622,0.3194,1949.9992,0.180798,-461.332625,-461.322485,-461.321541,-461.368874,36.508,-1917.0274448201,-1929.327876238,-1941.182776266,-1776.636111268
gdb_73196,CC12OCC1CC2C=O,2.44762,1.50785,1.39547,3.3022,75.08,-0.2432,-0.0173,0.2259,1050.6563,0.157865,-423.008615,-423.000017,-422.999073,-423.042177,32.004,-1850.7267264071,-1862.2182987241,-1872.887206742,-1722.276261616
gdb_109148,CC1(CN=C(O1)CO)C,3.60391,1.00414,0.95764,3.5389,75.98,-0.2522,0.0243,0.2765,1335.1705,0.169638,-440.316187,-440.306581,-440.305637,-440.351013,35.268,-1894.7841332971,-1906.5311017771,-1917.7930058,-1760.1332520771
gdb_69340,CC12CC(O)(C#N)C1N2,3.21608,1.27056,1.09952,3.6402,73.29,-0.2682,0.0025,0.2707,1132.6183,0.134772,-417.97796,-417.969279,-417.968335,-418.011006,32.786,-1670.9579480871,-1680.61970416,-1690.1026201681,-1555.194460258
gdb_66695,CC12C3C4C1N2C(=O)N34,3.11496,1.84959,1.52235,4.827,67.18,-0.2459,-0.0176,0.2283,885.0715,0.112947,-416.758892,-416.752208,-416.751264,-416.78986,26.484,-1533.8334263891,-1542.9712124471,-1551.268136445,-1430.13693663
gdb_58935,CC(C)C12CC3OC1C23,3.33861,1.23898,1.15345,1.8503,81.11,-0.2241,0.0794,0.3034,1177.1865,0.181813,-387.027774,-387.019273,-387.018329,-387.060829,33.368,-1999.0824041871,-2012.4125778741,-2024.267477902,-1857.1988542331
gdb_71962,OC12CC3CC(CC13)C2,2.71554,1.84591,1.60304,1.2662,80.29,-0.2497,0.0831,0.3329,948.3817,0.186151,-387.108426,-387.101458,-387.100514,-387.139131,30.328,-2049.6922600551,-2063.984405039,-2075.839305067,-1906.3340639511
gdb_43350,O=C1C=CC2COC1O2,2.93925,1.85047,1.48977,4.2009,66.62,-0.2358,-0.0639,0.1719,886.5558,0.114842,-457.783084,-457.776547,-457.775603,-457.814008,25.704,-1573.2133811931,-1582.4434110741,-1590.740335072,-1469.593447532
gdb_111173,CCC1C2CC1C2C#C,2.60544,1.1919,0.94181,0.6992,89.86,-0.2527,0.0458,0.2985,1333.5029,0.182225,-349.872714,-349.86391,-349.862966,-349.906267,34.415,-2038.45671141,-2051.5973773791,-2063.452277407,-1897.1416846101
gdb_50177,O=CC1OC2=NCCC12,3.06412,1.43405,1.31065,4.9868,69.88,-0.2519,-0.0456,0.2063,1012.1915,0.124739,-437.861608,-437.85418,-437.853236,-437.894008,27.699,-1610.216959414,-1619.77643152,-1628.666351523,-1500.785664904
gdb_116142,COC1OCCC(C)=C1,3.14487,1.10986,0.86483,1.5556,83.01,-0.2415,0.0193,0.2608,1396.6011,0.181953,-424.233538,-424.22418,-424.223235,-424.267755,34.622,-1991.5253133001,-2004.317084265,-2016.171356784,-1850.114905132
gdb_8450,OC12CC(C1)C(=O)C2,4.21607,1.80103,1.58252,2.3419,64.4,-0.2389,-0.0091,0.2298,825.7191,0.131315,-383.74875,-383.742079,-383.741135,-383.779238,26.842,-1591.849770984,-1601.884267403,-1610.774814915,-1483.968423704
gdb_47547,O=C1CC2CN2CCO1,2.86435,1.50954,1.07464,3.9604,72.47,-0.2449,0.0072,0.2521,1102.3949,0.149422,-439.084368,-439.076698,-439.075754,-439.116823,29.493,-1749.65824434,-1760.8429647561,-1770.918876769,-1626.890501053
gdb_113680,CNC(=O)C1CC1OC,2.47419,1.15848,0.97737,2.6037,77.25,-0.2385,0.0291,0.2675,1324.3218,0.16941,-440.288098,-440.277902,-440.276958,-440.324171,35.91,-1877.158032996,-1888.534771166,-1899.796675189,-1743.289655499
gdb_120942,COCC1OC2CC12C,2.85228,1.07244,0.91654,1.3388,79.33,-0.2307,0.0703,0.301,1379.6838,0.180498,-424.172426,-424.162807,-424.161863,-424.207401,35.055,-1953.176983292,-1965.804974408,-1977.659874436,-1812.2422269461
gdb_67323,OC12C3NC1C3C2C#N,3.31517,1.44242,1.22408,4.5049,69.68,-0.2526,0.0247,0.2773,1002.0868,0.11322,-416.720733,-416.713552,-416.712608,-416.752325,27.994,-1509.888310458,-1518.7142245431,-1527.011148541,-1406.583386315
gdb_133361,c1(c(=O)[nH]nc(n1)F)N,3.28815,1.44873,1.00565,2.3811,61.04,-0.2344,-0.0573,0.177,1035.5682,0.079327,-510.140517,-510.133446,-510.132502,-510.172054,26.78,-1242.862523161,-1249.089922477,-1255.60785846,-1158.794514922
gdb_41085,C1OC23C4CC(C12)C3O4,3.33628,1.83127,1.64337,2.3749,71.41,-0.2469,0.0424,0.2892,863.4757,0.137219,-421.684012,-421.677867,-421.676923,-421.714137,26.359,-1647.3780423941,-1658.6317888001,-1668.114704808,-1530.141790942
gdb_10295,[NH3+]CC(C#N)C([O-])=O,8.53976,0.35784,0.34407,7.0253,62.28,-0.2791,-0.0446,0.2344,2975.3783,0.09901,-415.913664,-415.900539,-415.899595,-415.96373,36.4,-1398.126447522,-1402.3326403491,-1410.037195851,-1315.2852193781
gdb_4233,CC(C)C(F)(F)F,3.38448,2.38617,1.93047,2.0582,46.27,-0.3436,0.0861,0.4298,708.6624,0.108875,-456.105229,-456.097706,-456.096761,-456.13687,26.861,-1292.6936403601,-1300.4151386051,-1308.1196941071,-1201.354057829
gdb_2789,OCC1CCC1=O,4.31724,2.30128,1.60851,3.2842,57.44,-0.2493,-0.0302,0.2191,758.8772,0.124721,-345.65887,-345.651862,-345.650918,-345.690104,25.415,-1439.297313012,-1448.2311586451,-1456.529337661,-1341.0112058511
gdb_2137,CC1N=CNC1=O,3.64951,3.47962,1.9328,2.3596,54.48,-0.2463,-0.0165,0.2298,643.2025,0.10317,-340.688787,-340.68249,-340.681546,-340.718918,22.863,-1297.53800984,-1305.140281375,-1312.252468381,-1211.570531858
gdb_104193,CCC1(C)CCC1(C)C,2.23194,1.21802,1.17677,0.0758,95.21,-0.2702,0.0754,0.3456,1332.9877,0.250638,-353.562371,-353.551634,-353.55069,-353.596955,42.409,-2470.194826081,-2487.4538336171,-2502.866709675,-2289.413875744
gdb_121877,CCCCN(C)C(=O)C,3.08709,0.73844,0.65392,3.3876,87.84,-0.2301,0.037,0.2671,1855.6109,0.215282,-405.590899,-405.579264,-405.57832,-405.62906,40.41,-2203.15899864,-2217.1875898441,-2230.821477887,-2044.114960063
gdb_110030,CCN1C(C)CNC1=O,2.09567,1.66093,1.07265,3.8534,79.22,-0.2253,0.0634,0.2887,1197.1593,0.183883,-420.467801,-420.458327,-420.457383,-420.502365,34.9,-1977.652344328,-1990.37069674,-2002.225596768,-1836.099491617
gdb_116872,CCCC#CC(O)C#N,4.10711,0.54783,0.50637,4.3867,82.87,-0.2762,-0.0085,0.2677,2167.5664,0.145166,-401.928167,-401.917545,-401.916601,-401.967171,36.102,-1788.316563794,-1797.6495051511,-1807.725417164,-1669.9144006201
gdb_32611,CCn1cc(oc1=O)O,2.87655,1.26595,0.93664,3.0477,67.3,-0.196,0.048,0.244,1225.5782,0.123302,-475.077111,-475.068134,-475.06719,-475.111658,31.801,-1608.7711786781,-1617.358011834,-1626.247931837,-1500.431122319
gdb_36876,C(C1C2CC1C2)N1CC1,4.4163,0.93239,0.90764,1.0006,87.2,-0.2299,0.0898,0.3197,1395.5439,0.195926,-367.121673,-367.113618,-367.112674,-367.155098,31.731,-2045.733933283,-2060.2325287281,-2072.680424761,-1897.3449975261
gdb_37297,C1OC2C1C1C3NC3C21,3.15169,1.78351,1.67875,2.7973,73.9,-0.2133,0.0644,0.2777,887.1604,0.150029,-401.829717,-401.823352,-401.822408,-401.860153,26.951,-1726.5383027441,-1738.5425499141,-1748.618461927,-1602.7596424581
gdb_119993,COCC1C(C)C1CO,2.04507,1.1984,0.89684,2.9382,83.07,-0.2428,0.0698,0.3125,1425.1979,0.205004,-425.398882,-425.388456,-425.387512,-425.434299,38.103,-2094.9375414821,-2108.8362383231,-2121.877130361,-1940.9091823421
gdb_35857,C#CC1COCC11CN1,2.13672,1.72731,1.17629,1.7687,77.02,-0.2432,0.0397,0.2829,1088.4227,0.147881,-401.882464,-401.874139,-401.873195,-401.916055,31.593,-1759.6375199671,-1770.4118494971,-1780.48776151,-1637.838650576
gdb_28686,c1cc([nH]c1CC#N)N,3.50262,1.03142,0.84011,2.9911,77.39,-0.192,0.027,0.219,1325.5929,0.125933,-396.977682,-396.969031,-396.968087,-397.011902,31.506,-1658.8551820041,-1667.647210603,-1676.537130606,-1550.4617873801
gdb_15885,CCC1C(C)CC1=O,2.64904,1.75782,1.21687,2.7292,75.26,-0.235,-0.0157,0.2193,1069.1377,0.175478,-349.025071,-349.016124,-349.015179,-349.058762,32.836,-1901.2342983081,-1913.3954227281,-1924.657326751,-1768.8769624831
gdb_34376,N#CC12COC1C=CC2,2.6615,1.64503,1.28888,3.7794,73.24,-0.2649,-0.0118,0.2531,995.0341,0.125962,-400.751926,-400.744629,-400.743684,-400.783886,27.818,-1678.0663700391,-1687.708673333,-1696.597965827,-1568.614995241
gdb_122602,CCOCC1OCC1=O,4.32304,0.71157,0.64003,1.1078,74.58,-0.2602,-0.0359,0.2243,1756.8458,0.156143,-460.145951,-460.136182,-460.135238,-460.182129,33.692,-1800.2304496681,-1810.9865814371,-1821.6554894551,-1673.165524749
gdb_17542,C1CC11CC2CC2C1,4.15105,1.73652,1.62853,0.2016,77.64,-0.2555,0.094,0.3496,895.2315,0.179515,-311.860095,-311.853218,-311.852274,-311.890731,28.584,-1934.386226287,-1947.8469218461,-1959.109453378,-1800.3678741391
gdb_117857,COCC(=NCC#N)N,4.28924,0.74679,0.68467,4.0659,76.12,-0.2471,0.0121,0.2592,1647.4322,0.146394,-435.270163,-435.260003,-435.259059,-435.306322,35.113,-1705.371169156,-1714.992764653,-1725.068676666,-1584.5675290391
gdb_19549,O=CC12C3CN1CC23,4.19549,1.79321,1.77153,4.4814,67.16,-0.2412,-0.024,0.2172,797.771,0.119765,-362.591566,-362.585242,-362.584298,-362.622205,24.207,-1481.2870777471,-1490.650767045,-1498.948318552,-1380.1338819651
gdb_34667,C1CCN=C(NC1)C#N,3.33042,1.18376,0.91489,5.4077,80.97,-0.2493,-0.038,0.2114,1254.6518,0.150556,-398.151817,-398.14357,-398.142626,-398.184973,30.878,-1767.783841805,-1778.6064895281,-1788.682401541,-1645.351815833
gdb_91304,CN1CC2CC(C#N)C12,2.43829,1.54123,1.09551,4.7183,80.6,-0.2214,0.0302,0.2516,1142.8382,0.160032,-382.043966,-382.035574,-382.034629,-382.077216,31.443,-1848.71053999,-1860.3313791611,-1870.99965967,-1719.9601258971
gdb_114602,COC1CC2CC12C=O,3.09145,1.13553,0.96788,3.6506,78.31,-0.2441,-0.0242,0.2199,1271.3656,0.157613,-423.000337,-422.991354,-422.99041,-423.03432,32.745,-1845.5322069051,-1856.7821882571,-1867.451096275,-1717.3459234031
gdb_63255,CC1(CC(=O)C(=O)O1)C,2.6558,1.37908,1.13725,5.4837,69.32,-0.2524,-0.0802,0.1721,1123.5393,0.133829,-459.028801,-459.020108,-459.019164,-459.062445,32.39,-1727.0603902321,-1736.714616197,-1746.1975322051,-1611.7763192791
gdb_106048,CCC12C3OC(C13)C2C,2.65996,1.47322,1.17946,1.8155,81.22,-0.2238,0.084,0.3077,1149.0796,0.181634,-387.031811,-387.0231,-387.022156,-387.065125,33.636,-2001.6156580201,-2014.8140548171,-2026.668954845,-1859.8946328971
gdb_24930,N=C1OC2=C(O1)C=CO2,5.32044,1.39497,1.1052,2.9117,62.55,-0.211,0.0003,0.2114,984.5895,0.078888,-472.622604,-472.616236,-472.615292,-472.653649,24.345,-1324.2491854431,-1330.918978604,-1337.436914587,-1240.45351611
gdb_57401,CC(C)(C)C1C2CC1C2,2.84577,1.1901,1.17292,0.0569,92.53,-0.2859,0.0816,0.3675,1265.617,0.228933,-352.305116,-352.29575,-352.294806,-352.338691,37.706,-2309.1076182,-2325.4498350871,-2339.676719135,-2141.064473054
gdb_133732,CNC(=NC)C(F)(F)F,2.03816,1.45033,1.00831,1.7174,62.33,-0.2276,0.0097,0.2374,1187.9781,0.118971,-565.570273,-565.560225,-565.55928,-565.606466,34.265,-1479.2658712581,-1487.180014766,-1496.06930726,-1371.912259047
gdb_85932,CC1(CN(C(=O)N1)C)C,2.72066,1.29836,1.10027,3.9284,79.94,-0.2303,0.0619,0.2922,1219.743,0.182775,-420.472868,-420.463324,-420.46238,-420.506661,35.991,-1980.831932431,-1993.5063592131,-2005.361259241,-1838.7952702811
gdb_10021,C(=O)C(C=O)N=CN,3.54062,1.28847,0.98103,3.5342,63.76,-0.2376,-0.0419,0.1956,1119.0381,0.104035,-415.870611,-415.861924,-415.86098,-415.904353,29.638,-1371.110302545,-1378.101380314,-1385.805935816,-1278.025617485
gdb_106891,CCC12CC1C(=O)C2O,2.84517,1.24841,1.05157,2.4137,76.74,-0.2301,-0.015,0.2151,1206.9455,0.157653,-423.018692,-423.009461,-423.008517,-423.052823,34.108,-1857.0501346001,-1868.1444937201,-1878.813401738,-1728.9567224301
